time,temp,salt,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_doc,OGM_poc,PHY_green,PHY_crypto,PHY_diatom
1998-05-01 24:00:00,    3.993343,    0.760026,  223.608628,    2.509878,   12.310801,   27.800997,    0.088852,   48.645006,   49.916381,    0.000000,    1.002886,   77.805486,   79.624271,    6.137039,    0.098358,    9.474248
1998-05-02 24:00:00,    3.889410,    0.760045,  221.924503,    2.519322,   12.141867,   28.002352,    0.088066,   47.099749,   49.850459,    0.000000,    1.006427,   75.357141,   79.212991,    1.664506,    0.095920,    8.742660
1998-05-03 24:00:00,    4.360451,    0.760062,  225.329248,    2.530389,   11.982676,   28.208839,    0.087620,   45.259024,   49.779867,    0.000000,    1.010337,   72.434153,   76.327662,    0.030262,    0.096642,    7.130145
1998-05-04 24:00:00,    4.610299,    0.760076,  229.309795,    2.541453,   11.827321,   28.419857,    0.087399,   43.117582,   49.735040,    0.000000,    1.015322,   69.060419,   71.727467,    0.030391,    0.096113,    4.315625
1998-05-05 24:00:00,    4.662556,    0.760103,  233.430486,    2.552598,   11.673231,   28.636645,    0.087433,   40.657875,   49.708853,    0.000000,    1.021343,   65.232517,   66.447882,    0.030427,    0.095298,    0.980360
1998-05-06 24:00:00,    4.866045,    0.760055,  239.048285,    2.563533,   11.519725,   28.855018,    0.087683,   37.942042,   49.699566,    0.000000,    1.028398,   61.161037,   60.582941,    0.030598,    0.095057,    0.030126
1998-05-07 24:00:00,    5.106989,    0.759927,  241.474091,    2.575816,   11.358640,   29.075128,    0.087965,   34.895344,   49.715743,    0.000012,    1.037819,   56.776450,   54.010567,    0.035624,    0.099816,    0.034760
1998-05-08 24:00:00,    5.149984,    0.759857,  241.797606,    2.580662,   11.183628,   29.303776,    0.088062,   31.572937,   49.763007,    0.000012,    1.049007,   52.201202,   46.882669,    0.033918,    0.104234,    0.033518
1998-05-09 24:00:00,    5.405587,    0.759889,  242.412059,    2.601201,   11.013666,   29.513968,    0.088537,   28.158806,   49.834529,    0.000013,    1.060134,   47.718714,   39.235309,    0.034468,    0.103432,    0.034072
1998-05-10 24:00:00,    5.704503,    0.759905,  247.789240,    2.611674,   10.828522,   29.731773,    0.088795,   24.870410,   49.931521,    0.000013,    1.072920,   44.067700,   31.593617,    0.034661,    0.103324,    0.034518
