200	513.08	760.94	962.98	1131.7	1275.3	1399.7	1508.7	1605.3	1691.6	1769.3	1839.7	1903.9	1962.6	2016.5	2066.2	2112.2	2154.8	2194.5	2231.4	2265.9	2298.2	2328.4	2356.8	2383.4	2408.5	2432.2	2454.5	2475.5	2495.4	2514.3	2532.1	2549	2565	2580.3	2594.7	2608.5	2621.6	2634	2645.9	2657.2	2667.9	2678.2	2688	2697.4	2706.3	2714.8	2723	2730.8	2738.3	2745.4	2752.3	2758.8	2765.1	2771.1	2776.9	2782.5	2787.8	2792.9	2797.7	2802.4	2806.9	2811.3	2815.4	2819.4	2823.3	2827	2830.5	2833.9	2837.2	2840.4	2843.4	2846.3	2849.2	2851.9	2854.5	2857	2859.4	2861.8	2864	2866.2	2868.3	2870.3	2872.2	2874.1	2875.9	2877.7	2879.4	2881	2882.6	2884.1	2885.5	2886.9	2888.3	2889.6	2890.9	2892.1	2893.3	2894.4	2895.5
200	236.84	321.93	429.26	544.85	661.25	774.6	883.01	985.66	1082.3	1173.1	1258.1	1337.9	1412.6	1482.7	1548.4	1610.2	1668.3	1722.9	1774.4	1822.9	1868.7	1912	1952.9	1991.6	2028.2	2063	2095.9	2127.2	2156.8	2185.1	2211.9	2237.4	2261.7	2284.8	2306.9	2327.9	2348	2367.1	2385.4	2402.9	2419.6	2435.5	2450.8	2465.4	2479.4	2492.8	2505.6	2517.8	2529.6	2540.9	2551.7	2562.1	2572	2581.6	2590.7	2599.5	2608	2616.1	2623.9	2631.4	2638.6	2645.6	2652.2	2658.6	2664.8	2670.7	2676.5	2682	2687.3	2692.4	2697.3	2702	2706.6	2710.9	2715.2	2719.3	2723.2	2727	2730.6	2734.2	2737.6	2740.9	2744	2747.1	2750	2752.9	2755.6	2758.3	2760.8	2763.3	2765.7	2768	2770.2	2772.4	2774.5	2776.5	2778.4	2780.3	2782.1
200	202.34	218.04	250.16	296.92	355.09	421.42	493.11	567.88	644.11	720.55	796.26	870.59	943.1	1013.5	1081.6	1147.3	1210.5	1271.3	1329.6	1385.6	1439.2	1490.6	1539.9	1587	1632.2	1675.4	1716.7	1756.3	1794.3	1830.6	1865.4	1898.7	1930.6	1961.2	1990.6	2018.7	2045.6	2071.5	2096.3	2120.1	2142.9	2164.8	2185.8	2206	2225.4	2244.1	2262	2279.2	2295.7	2311.6	2326.9	2341.6	2355.8	2369.4	2382.5	2395.1	2407.2	2418.9	2430.1	2441	2451.4	2461.4	2471.1	2480.4	2489.4	2498.1	2506.4	2514.5	2522.3	2529.8	2537	2544	2550.7	2557.2	2563.4	2569.5	2575.3	2580.9	2586.4	2591.6	2596.7	2601.6	2606.3	2610.9	2615.3	2619.5	2623.7	2627.6	2631.5	2635.2	2638.8	2642.3	2645.6	2648.9	2652	2655.1	2658	2660.8	2663.6
200	199.39	200.82	207.03	219.98	240.48	268.47	303.34	344.14	389.89	439.6	492.34	547.26	603.66	660.94	718.59	776.2	833.45	890.05	945.8	1000.5	1054.1	1106.5	1157.5	1207.2	1255.5	1302.4	1347.9	1392	1434.6	1476	1515.9	1554.6	1592	1628.1	1663	1696.6	1729.2	1760.6	1790.9	1820.2	1848.4	1875.7	1902	1927.4	1951.9	1975.6	1998.4	2020.4	2041.7	2062.2	2082	2101.1	2119.6	2137.4	2154.6	2171.2	2187.3	2202.8	2217.7	2232.1	2246.1	2259.6	2272.6	2285.1	2297.3	2309	2320.3	2331.3	2341.9	2352.1	2362	2371.5	2380.8	2389.7	2398.3	2406.7	2414.7	2422.5	2430.1	2437.4	2444.4	2451.3	2457.9	2464.2	2470.4	2476.4	2482.2	2487.8	2493.2	2498.4	2503.5	2508.4	2513.2	2517.8	2522.2	2526.6	2530.7	2534.8	2538.7
200	199.2	198.64	198.99	201.26	206.44	215.32	228.39	245.86	267.69	293.69	323.53	356.82	393.11	431.97	472.97	515.71	559.82	604.95	650.82	697.14	743.68	790.25	836.66	882.76	928.42	973.54	1018	1061.8	1104.8	1147	1188.3	1228.7	1268.2	1306.8	1344.4	1381.1	1416.9	1451.7	1485.6	1518.6	1550.6	1581.7	1612	1641.4	1669.9	1697.6	1724.5	1750.6	1775.9	1800.5	1824.3	1847.4	1869.8	1891.5	1912.6	1933	1952.7	1971.9	1990.5	2008.5	2025.9	2042.8	2059.2	2075	2090.4	2105.3	2119.8	2133.7	2147.3	2160.4	2173.2	2185.5	2197.4	2209	2220.2	2231.1	2241.6	2251.8	2261.7	2271.3	2280.6	2289.6	2298.3	2306.8	2315	2322.9	2330.6	2338.1	2345.3	2352.3	2359.1	2365.7	2372.1	2378.3	2384.3	2390.1	2395.7	2401.2	2406.5
200	199.19	198.41	197.77	197.53	198.11	199.98	203.63	209.49	217.87	228.99	242.98	259.85	279.54	301.94	326.88	354.16	383.56	414.85	447.81	482.2	517.82	554.46	591.92	630.03	668.62	707.53	746.64	785.83	824.97	863.97	902.74	941.21	979.31	1017	1054.2	1090.8	1127	1162.5	1197.4	1231.6	1265.2	1298.2	1330.4	1362	1392.9	1423	1452.5	1481.3	1509.5	1536.9	1563.7	1589.8	1615.2	1640	1664.1	1687.7	1710.6	1732.9	1754.6	1775.7	1796.3	1816.3	1835.7	1854.6	1873	1890.9	1908.3	1925.2	1941.7	1957.6	1973.2	1988.2	2002.9	2017.1	2031	2044.4	2057.5	2070.2	2082.5	2094.5	2106.1	2117.4	2128.4	2139.1	2149.4	2159.5	2169.3	2178.8	2188	2196.9	2205.6	2214.1	2222.2	2230.2	2237.9	2245.5	2252.7	2259.8	2266.7
200	199.19	198.39	197.61	196.9	196.37	196.2	196.63	197.91	200.31	204.07	209.43	216.58	225.63	236.68	249.77	264.9	282.03	301.09	321.99	344.63	368.89	394.63	421.72	450.03	479.43	509.77	540.93	572.8	605.24	638.16	671.45	705	738.74	772.58	806.44	840.26	873.97	907.51	940.84	973.9	1006.7	1039.1	1071.1	1102.8	1134	1164.7	1195	1224.8	1254.1	1282.9	1311.1	1338.9	1366.1	1392.8	1418.9	1444.5	1469.6	1494.1	1518.1	1541.5	1564.5	1586.9	1608.8	1630.2	1651.1	1671.5	1691.4	1710.8	1729.8	1748.3	1766.3	1783.9	1801	1817.8	1834.1	1849.9	1865.4	1880.5	1895.2	1909.5	1923.4	1937	1950.2	1963.1	1975.6	1987.8	1999.7	2011.3	2022.5	2033.5	2044.1	2054.5	2064.6	2074.5	2084	2093.3	2102.4	2111.2	2119.8
200	199.19	198.39	197.59	196.81	196.06	195.4	194.91	194.69	194.89	195.66	197.15	199.54	202.97	207.59	213.5	220.8	229.57	239.84	251.63	264.94	279.76	296.04	313.74	332.8	353.13	374.68	397.35	421.05	445.71	471.23	497.52	524.51	552.1	580.22	608.79	637.73	666.97	696.45	726.1	755.87	785.7	815.53	845.33	875.04	904.63	934.06	963.29	992.3	1021	1049.5	1077.7	1105.5	1133	1160.2	1186.9	1213.3	1239.3	1264.9	1290	1314.8	1339.1	1363	1386.5	1409.5	1432.1	1454.2	1476	1497.3	1518.1	1538.6	1558.6	1578.2	1597.3	1616.1	1634.5	1652.4	1669.9	1687.1	1703.9	1720.3	1736.3	1751.9	1767.2	1782.1	1796.7	1810.9	1824.8	1838.3	1851.6	1864.5	1877.1	1889.4	1901.4	1913.1	1924.5	1935.6	1946.4	1957	1967.3
200	199.19	198.39	197.59	196.8	196.03	195.3	194.62	194.04	193.62	193.41	193.51	194	194.99	196.58	198.88	201.98	205.96	210.93	216.93	224.02	232.25	241.64	252.2	263.95	276.86	290.92	306.1	322.37	339.68	357.98	377.23	397.36	418.33	440.06	462.51	485.61	509.3	533.52	558.21	583.33	608.8	634.58	660.63	686.88	713.3	739.84	766.45	793.11	819.76	846.39	872.95	899.41	925.75	951.94	977.96	1003.8	1029.4	1054.7	1079.9	1104.7	1129.3	1153.6	1177.5	1201.2	1224.5	1247.5	1270.2	1292.5	1314.5	1336.1	1357.3	1378.2	1398.8	1419	1438.8	1458.3	1477.4	1496.1	1514.5	1532.6	1550.2	1567.6	1584.6	1601.2	1617.5	1633.5	1649.1	1664.4	1679.4	1694.1	1708.5	1722.5	1736.2	1749.7	1762.8	1775.7	1788.2	1800.5	1812.5
200	199.19	198.4	197.62	196.9	196.23	195.65	195.15	194.75	194.45	194.27	194.24	194.38	194.75	195.39	196.36	197.74	199.57	201.95	204.92	208.56	212.92	218.05	224.01	230.81	238.51	247.11	256.63	267.07	278.44	290.73	303.91	317.97	332.89	348.64	365.18	382.48	400.5	419.2	438.54	458.48	478.97	499.97	521.45	543.35	565.63	588.26	611.19	634.38	657.8	681.41	705.17	729.06	753.03	777.06	801.11	825.17	849.2	873.18	897.08	920.89	944.59	968.14	991.54	1014.8	1037.8	1060.7	1083.3	1105.7	1127.9	1149.8	1171.5	1192.9	1214	1234.9	1255.5	1275.8	1295.8	1315.5	1334.9	1354.1	1372.9	1391.4	1409.6	1427.5	1445.1	1462.5	1479.5	1496.2	1512.6	1528.7	1544.5	1560	1575.2	1590.2	1604.8	1619.2	1633.3	1647.1	1660.6
