"UNH ID #","Depth","Collection Date","MeasurementType","Project","Sub_Project","Cl (mg Cl/L)","NO3 (mg N/L)","SO4 (mg S/L)","Acetate (mg/L)","Formate (mg/L)","Oxalate (mg/L)"
104419,21,"13-Aug-08",,"Mystic Lake","Sarah Preheim",326.177,0.01,4.581,,,
104418,20,"13-Aug-08",,"Mystic Lake","Sarah Preheim",356.654,0.016,5.368,,,
104417,19,"13-Aug-08",,"Mystic Lake","Sarah Preheim",359.189,0.017,5.204,,,
104416,18,"13-Aug-08",,"Mystic Lake","Sarah Preheim",349.938,0.016,5.481,,,
104415,17,"13-Aug-08",,"Mystic Lake","Sarah Preheim",372.511,0.009,5.999,,,
104414,16,"13-Aug-08",,"Mystic Lake","Sarah Preheim",339.385,0.014,6.268,,,
104413,15,"13-Aug-08",,"Mystic Lake","Sarah Preheim",326.774,0.059,6.939,,,
104412,14,"13-Aug-08",,"Mystic Lake","Sarah Preheim",252.005,0.261,5.474,,,
104411,13,"13-Aug-08",,"Mystic Lake","Sarah Preheim",293.186,0.575,7.294,,,
104410,12,"13-Aug-08",,"Mystic Lake","Sarah Preheim",281.437,1.039,7.649,,,
104409,11,"13-Aug-08",,"Mystic Lake","Sarah Preheim",271.625,1.535,7.507,,,
104408,10,"13-Aug-08",,"Mystic Lake","Sarah Preheim",256.708,1.856,7.757,,,
104407,9,"13-Aug-08",,"Mystic Lake","Sarah Preheim",254.17,1.8,7.358,,,
104406,8,"13-Aug-08",,"Mystic Lake","Sarah Preheim",251.465,1.846,8.002,,,
104405,8,"13-Aug-08",,"Mystic Lake","Sarah Preheim",195.125,1.415,6.695,,,
104404,7,"13-Aug-08",,"Mystic Lake","Sarah Preheim",244.927,1.635,7.908,,,
104403,6,"13-Aug-08",,"Mystic Lake","Sarah Preheim",238.478,1.393,7.833,,,
104402,5,"13-Aug-08",,"Mystic Lake","Sarah Preheim",160.291,0.808,6.199,,,
104401,4,"13-Aug-08",,"Mystic Lake","Sarah Preheim",135.197,0.824,5.593,,,
104400,1.5,"13-Aug-08",,"Mystic Lake","Sarah Preheim",118.073,0.734,5.066,,,
104399,0,"13-Aug-08",,"Mystic Lake","Sarah Preheim",115.991,0.713,4.997,,,
