	n	dtp	twp	score
873	8	0.9	0.65	-90152439.5351
1162	10	0.55	0.6	-90152880.0616
944	9	0.35	0.7	-90153053.5198
1172	10	0.6	0.6	-90153547.009
1182	10	0.65	0.6	-90154214.6572
1192	10	0.7	0.6	-90154883.8879
1202	10	0.75	0.6	-90155554.4437
1212	10	0.8	0.6	-90156225.8186
1222	10	0.85	0.6	-90156897.5979
1232	10	0.9	0.6	-90157569.4078
954	9	0.4	0.7	-90160651.4374
964	9	0.45	0.7	-90170099.2321
974	9	0.5	0.7	-90180611.737
704	8	0.05	0.7	-90190677.4055
714	8	0.1	0.7	-90190800.7802
724	8	0.15	0.7	-90191145.9149
734	8	0.2	0.7	-90191568.8096
744	8	0.25	0.7	-90192001.3171
754	8	0.3	0.7	-90192464.3216
764	8	0.35	0.7	-90192911.7497
774	8	0.4	0.7	-90193356.8017
1063	10	0.05	0.65	-90193665.5855
784	8	0.45	0.7	-90193795.4321
794	8	0.5	0.7	-90194226.8853
1073	10	0.1	0.65	-90194331.7918
804	8	0.55	0.7	-90194652.6035
814	8	0.6	0.7	-90195074.3663
1083	10	0.15	0.65	-90195191.2313
824	8	0.65	0.7	-90195493.1903
834	8	0.7	0.7	-90195909.4824
984	9	0.55	0.7	-90195926.2816
1093	10	0.2	0.65	-90196105.6539
844	8	0.75	0.7	-90196323.4984
994	9	0.6	0.7	-90196369.9698
854	8	0.8	0.7	-90196735.4041
1004	9	0.65	0.7	-90196827.6994
1103	10	0.25	0.65	-90197026.3301
864	8	0.85	0.7	-90197145.2855
1014	9	0.7	0.7	-90197293.9108
874	8	0.9	0.7	-90197553.2534
1024	9	0.75	0.7	-90197757.602
1113	10	0.3	0.65	-90197923.3277
1034	9	0.8	0.7	-90198217.8641
1044	9	0.85	0.7	-90198674.8532
1123	10	0.35	0.65	-90198768.2184
1054	9	0.9	0.7	-90199128.8406
1133	10	0.4	0.65	-90199566.1324
1143	10	0.45	0.65	-90200317.6555
1153	10	0.5	0.65	-90201026.9331
1163	10	0.55	0.65	-90201716.0192
1173	10	0.6	0.65	-90202402.2815
1183	10	0.65	0.65	-90203090.7186
1193	10	0.7	0.65	-90203782.2031
1203	10	0.75	0.65	-90204476.2093
1213	10	0.8	0.65	-90205171.9459
1223	10	0.85	0.65	-90205868.7688
1233	10	0.9	0.65	-90206566.1096
705	8	0.05	0.75	-90235050.8112
715	8	0.1	0.75	-90235190.677
725	8	0.15	0.75	-90235548.6666
735	8	0.2	0.75	-90235982.8247
745	8	0.25	0.75	-90236427.9842
1064	10	0.05	0.7	-90236608.3811
885	9	0.05	0.75	-90236765.4021
755	8	0.3	0.75	-90236888.2322
895	9	0.1	0.75	-90236990.3967
765	8	0.35	0.75	-90237357.6178
905	9	0.15	0.75	-90237440.2069
1074	10	0.1	0.7	-90237741.4615
775	8	0.4	0.75	-90237814.2893
915	9	0.2	0.75	-90237961.8053
785	8	0.45	0.75	-90238263.1774
925	9	0.25	0.75	-90238482.0244
795	8	0.5	0.75	-90238705.2993
935	9	0.3	0.75	-90239003.4811
1084	10	0.15	0.7	-90239021.9169
805	8	0.55	0.75	-90239142.0358
945	9	0.35	0.75	-90239518.873
815	8	0.6	0.75	-90239574.869
825	8	0.65	0.75	-90240004.733
955	9	0.4	0.75	-90240041.589
1094	10	0.2	0.7	-90240330.948
