	n	dtp	twp	score
236	5	0.2	0.35	-91358598.844
246	5	0.25	0.35	-91358751.989
256	5	0.3	0.35	-91358922.5185
266	5	0.35	0.35	-91359096.3417
276	5	0.4	0.35	-91359273.6066
286	5	0.45	0.35	-91359452.716
296	5	0.5	0.35	-91359633.3769
217	5	0.1	0.4	-91389374.0107
227	5	0.15	0.4	-91389429.3468
207	5	0.05	0.4	-91389493.8264
237	5	0.2	0.4	-91389559.699
247	5	0.25	0.4	-91389714.6245
257	5	0.3	0.4	-91389886.573
267	5	0.35	0.4	-91390063.2877
277	5	0.4	0.4	-91390242.151
287	5	0.45	0.4	-91390422.9999
297	5	0.5	0.4	-91390605.204
218	5	0.1	0.45	-91420356.0884
228	5	0.15	0.45	-91420419.1015
208	5	0.05	0.45	-91420489.176
238	5	0.2	0.45	-91420547.4758
248	5	0.25	0.45	-91420707.3313
258	5	0.3	0.45	-91420879.9067
268	5	0.35	0.45	-91421058.7265
278	5	0.4	0.45	-91421239.1205
288	5	0.45	0.45	-91421421.298
298	5	0.5	0.45	-91421604.8493
219	5	0.1	0.5	-91451295.3145
229	5	0.15	0.5	-91451358.0701
209	5	0.05	0.5	-91451419.2461
239	5	0.2	0.5	-91451490.2584
249	5	0.25	0.5	-91451650.5404
259	5	0.3	0.5	-91451825.3541
269	5	0.35	0.5	-91452005.2241
279	5	0.4	0.5	-91452187.2598
289	5	0.45	0.5	-91452370.555
299	5	0.5	0.5	-91452555.2678
193	4	0.5	0.2	-92648195.1296
133	4	0.2	0.2	-92648236.6572
123	4	0.15	0.2	-92648245.2057
183	4	0.45	0.2	-92648249.4673
143	4	0.25	0.2	-92648251.0374
153	4	0.3	0.2	-92648271.0965
173	4	0.4	0.2	-92648278.7713
163	4	0.35	0.2	-92648282.9357
113	4	0.1	0.2	-92648306.9493
103	4	0.05	0.2	-92648514.5873
111	4	0.1	0.1	-92648625.1886
121	4	0.15	0.1	-92648648.1055
131	4	0.2	0.1	-92648729.4831
101	4	0.05	0.1	-92648739.0417
141	4	0.25	0.1	-92648838.4896
151	4	0.3	0.1	-92648971.0692
161	4	0.35	0.1	-92649110.5509
171	4	0.4	0.1	-92649248.6733
181	4	0.45	0.1	-92649393.2341
191	4	0.5	0.1	-92649546.5226
114	4	0.1	0.25	-92650067.6367
104	4	0.05	0.25	-92650124.9103
124	4	0.15	0.25	-92650152.0861
134	4	0.2	0.25	-92650301.1921
144	4	0.25	0.25	-92650481.6563
154	4	0.3	0.25	-92650677.3319
164	4	0.35	0.25	-92650877.912
174	4	0.4	0.25	-92651080.6702
184	4	0.45	0.25	-92651282.5651
194	4	0.5	0.25	-92651485.1297
112	4	0.1	0.15	-92653142.8938
122	4	0.15	0.15	-92653203.4939
102	4	0.05	0.15	-92653239.7998
132	4	0.2	0.15	-92653319.7039
142	4	0.25	0.15	-92653473.6318
120	4	0.15	0.05	-92653558.6003
110	4	0.1	0.05	-92653584.9364
130	4	0.2	0.05	-92653610.3042
152	4	0.3	0.15	-92653641.8668
140	4	0.25	0.05	-92653726.3986
100	4	0.05	0.05	-92653814.2527
162	4	0.35	0.15	-92653818.3728
150	4	0.3	0.05	-92653854.2287
172	4	0.4	0.15	-92653997.1084
160	4	0.35	0.05	-92654013.3648
170	4	0.4	0.05	-92654158.4256
182	4	0.45	0.15	-92654177.1248
180	4	0.45	0.05	-92654313.5422
192	4	0.5	0.15	-92654358.815
190	4	0.5	0.05	-92654465.0619
115	4	0.1	0.3	-92670836.9965
105	4	0.05	0.3	-92670878.3905
125	4	0.15	0.3	-92670938.3542
135	4	0.2	0.3	-92671099.7558
145	4	0.25	0.3	-92671294.4767
155	4	0.3	0.3	-92671504.4746
165	4	0.35	0.3	-92671720.3989
175	4	0.4	0.3	-92671937.5953
185	4	0.45	0.3	-92672154.0309
195	4	0.5	0.3	-92672371.4069
116	4	0.1	0.35	-92693615.8156
106	4	0.05	0.35	-92693656.88
126	4	0.15	0.35	-92693724.3247
136	4	0.2	0.35	-92693889.7921
146	4	0.25	0.35	-92694090.7079
156	4	0.3	0.35	-92694306.1853
166	4	0.35	0.35	-92694528.1894
176	4	0.4	0.35	-92694750.6814
186	4	0.45	0.35	-92694972.4388
196	4	0.5	0.35	-92695194.8453
117	4	0.1	0.4	-92717194.8518
107	4	0.05	0.4	-92717231.0818
127	4	0.15	0.4	-92717304.8499
137	4	0.2	0.4	-92717473.3414
147	4	0.25	0.4	-92717677.6208
157	4	0.3	0.4	-92717896.7596
167	4	0.35	0.4	-92718122.4512
177	4	0.4	0.4	-92718348.4836
187	4	0.45	0.4	-92718573.494
197	4	0.5	0.4	-92718799.1908
118	4	0.1	0.45	-92741183.962
108	4	0.05	0.45	-92741220.1879
128	4	0.15	0.45	-92741298.0205
138	4	0.2	0.45	-92741468.8181
148	4	0.25	0.45	-92741676.0526
158	4	0.3	0.45	-92741898.7021
168	4	0.35	0.45	-92742126.4873
178	4	0.4	0.45	-92742355.4613
188	4	0.45	0.45	-92742583.338
198	4	0.5	0.45	-92742811.7809
119	4	0.1	0.5	-92765425.9771
109	4	0.05	0.5	-92765457.9749
129	4	0.15	0.5	-92765541.6718
139	4	0.2	0.5	-92765716.1957
149	4	0.25	0.5	-92765924.3902
159	4	0.3	0.5	-92766150.0389
169	4	0.35	0.5	-92766380.6372
179	4	0.4	0.5	-92766612.054
189	4	0.45	0.5	-92766842.3598
199	4	0.5	0.5	-92767073.125
21	3	0.15	0.1	-93718622.7209
31	3	0.2	0.1	-93718646.1675
11	3	0.1	0.1	-93718646.3661
41	3	0.25	0.1	-93718692.3001
51	3	0.3	0.1	-93718751.6871
1	3	0.05	0.1	-93718800.7914
61	3	0.35	0.1	-93718815.8014
71	3	0.4	0.1	-93718883.0485
81	3	0.45	0.1	-93718949.3059
91	3	0.5	0.1	-93719020.9447
22	3	0.15	0.15	-93719088.393
12	3	0.1	0.15	-93719106.7606
32	3	0.2	0.15	-93719115.7246
42	3	0.25	0.15	-93719165.1133
52	3	0.3	0.15	-93719227.3176
2	3	0.05	0.15	-93719245.1569
62	3	0.35	0.15	-93719297.869
72	3	0.4	0.15	-93719372.3541
82	3	0.45	0.15	-93719450.1995
92	3	0.5	0.15	-93719530.2294
20	3	0.15	0.05	-93723520.9903
30	3	0.2	0.05	-93723532.6493
10	3	0.1	0.05	-93723554.615
40	3	0.25	0.05	-93723565.228
50	3	0.3	0.05	-93723612.688
60	3	0.35	0.05	-93723668.2824
0	3	0.05	0.05	-93723720.0671
70	3	0.4	0.05	-93723728.1248
80	3	0.45	0.05	-93723791.3421
90	3	0.5	0.05	-93723858.0596
23	3	0.15	0.2	-93730908.27
13	3	0.1	0.2	-93730922.4861
33	3	0.2	0.2	-93730941.4554
43	3	0.25	0.2	-93730992.7773
53	3	0.3	0.2	-93731056.196
3	3	0.05	0.2	-93731058.2362
63	3	0.35	0.2	-93731127.5165
73	3	0.4	0.2	-93731203.3449
83	3	0.45	0.2	-93731282.3934
93	3	0.5	0.2	-93731363.7527
24	3	0.15	0.25	-93745393.8979
14	3	0.1	0.25	-93745408.0991
34	3	0.2	0.25	-93745426.0846
44	3	0.25	0.25	-93745482.3512
4	3	0.05	0.25	-93745545.5044
54	3	0.3	0.25	-93745547.8244
64	3	0.35	0.25	-93745620.6007
74	3	0.4	0.25	-93745697.603
84	3	0.45	0.25	-93745777.9335
94	3	0.5	0.25	-93745860.4167
25	3	0.15	0.3	-93761621.3646
15	3	0.1	0.3	-93761634.2194
35	3	0.2	0.3	-93761652.4486
45	3	0.25	0.3	-93761707.2363
5	3	0.05	0.3	-93761768.8176
55	3	0.3	0.3	-93761775.2906
65	3	0.35	0.3	-93761849.0999
75	3	0.4	0.3	-93761926.9789
85	3	0.45	0.3	-93762007.9831
95	3	0.5	0.3	-93762091.1192
26	3	0.15	0.35	-93778869.2986
16	3	0.1	0.35	-93778881.948
36	3	0.2	0.35	-93778903.0777
46	3	0.25	0.35	-93778959.3369
6	3	0.05	0.35	-93779013.7816
56	3	0.3	0.35	-93779027.7925
66	3	0.35	0.35	-93779102.8661
76	3	0.4	0.35	-93779181.6638
86	3	0.45	0.35	-93779263.2494
96	3	0.5	0.35	-93779347.0154
27	3	0.15	0.4	-93796698.1148
17	3	0.1	0.4	-93796710.4328
37	3	0.2	0.4	-93796733.1379
47	3	0.25	0.4	-93796789.7689
7	3	0.05	0.4	-93796836.9629
57	3	0.3	0.4	-93796858.4741
67	3	0.35	0.4	-93796934.7691
77	3	0.4	0.4	-93797014.739
87	3	0.45	0.4	-93797097.1087
97	3	0.5	0.4	-93797181.5471
28	3	0.15	0.45	-93814885.4511
18	3	0.1	0.45	-93814893.0718
38	3	0.2	0.45	-93814920.1536
48	3	0.25	0.45	-93814977.9109
8	3	0.05	0.45	-93815016.5236
58	3	0.3	0.45	-93815047.4744
68	3	0.35	0.45	-93815124.0851
78	3	0.4	0.45	-93815204.859
88	3	0.45	0.45	-93815288.088
98	3	0.5	0.45	-93815373.1999
29	3	0.15	0.5	-93833294.9022
19	3	0.1	0.5	-93833302.5734
39	3	0.2	0.5	-93833332.6407
49	3	0.25	0.5	-93833391.253
9	3	0.05	0.5	-93833429.0025
59	3	0.3	0.5	-93833461.4601
69	3	0.35	0.5	-93833538.8353
79	3	0.4	0.5	-93833620.035
89	3	0.45	0.5	-93833703.8819
99	3	0.5	0.5	-93833789.6153
