time,Volume,Vol Snow,Vol Black Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Snowfall,Lake Level,Surface Area,Black Ice,Snow Height,Snow Density,White Ice,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,H_s,L,T,LakeNumber,Max dT/dz,CD
1997-01-02 24:00:00,3872996398.696820,    0.000000,    0.000000,    0.000000,1005301.922662,708903.225838,    0.000000,    0.000000,    0.000000,    0.000000,   41.001846,162003137.442818,    0.000000,    0.000000,    0.000000,    0.000000,    0.099997,   17.653882,   17.284429,   17.653882,    0.000000,    0.000000,    0.000000,-5604345058979404.000000,    0.000000,  100.000000,    0.000000,    0.000000,    0.000000,         nan,    0.260118,-9999.000000
1997-01-03 24:00:00,3873236222.981547,    0.000000,    0.000000,    0.000000,1038193.432861,708903.225838,    0.000000,-90266.131734,    0.000000,    0.000000,   41.003340,162005676.033532,    0.000000,    0.000000,    0.000000,    0.000000,    0.099988,   17.709015,   17.050336,   17.709015,1770772094905631.500000,-221422821143366.875000,-61396514675577.765625,-1884614928838536.000000,   28.810323,  100.000000,    0.036623,    0.986095,    0.794721,         nan,    0.590063,-9999.000000
1997-01-04 24:00:00,3873454343.661020,    0.000000,    0.000000,    0.000000,1037856.876513,708903.225839,    0.000000,-111825.968513,    0.000000,    0.000000,   41.004698,162007984.887001,    0.000000,    0.000000,    0.000000,    0.000000,    0.099973,   17.679167,   16.889856,   17.679167,1827526266519386.000000,-274309100761745.437500,-76726098534565.078125,-1941752782786037.750000,    0.000000,  100.000000,    0.075420,    1.940788,    1.114922,         nan,    0.572605,-9999.000000
1997-01-05 24:00:00,3873596415.783812,    0.000000,    0.000000,    0.000000,1000467.645467,708903.225839,    0.000000,-150833.625997,    0.000000,    0.000000,   41.005583,162009488.750432,    0.000000,    0.000000,    0.000000,    0.000000,    0.099953,   17.570115,   16.729907,   17.570115,1674584475086870.250000,-369994884571541.375000,-85508377545280.125000,-1921905382536046.750000,    0.000000,  100.000000,    0.033735,    0.913832,    0.765048,         nan,    0.558113,-9999.000000
1997-01-06 24:00:00,3873775802.270061,    0.000000,    0.000000,    0.000000,992156.371115,708903.225838,    0.000000,-104799.733651,    0.000000,    0.000000,   41.006700,162011387.594283,    0.000000,    0.000000,    0.000000,    0.000000,    0.099926,   17.552589,   16.393273,   17.552589,1564532861070086.250000,-257073746646381.406250,-47153733073971.367188,-1832918248658718.000000,    0.000000,  100.000000,    0.010958,    0.322919,    0.454781,         nan,    0.257816,-9999.000000
1997-01-07 24:00:00,3873964045.643867,    0.000000,    0.000000,    0.000000,979845.153765,708903.225838,    0.000000,-83442.499291,    0.000000,    0.000000,   41.007872,162013380.190160,    0.000000,    0.000000,    0.000000,    0.000000,    0.099893,   17.449979,   16.549722,   17.449979,793813210252742.375000,-204684450759919.343750,-5944917496485.480469,-1666136613318497.500000,    0.000000,  100.000000,    0.062004,    1.612567,    1.016282,         nan,    0.536944,-9999.000000
1997-01-08 24:00:00,3874104769.614881,    0.000000,    0.000000,    0.000000,980187.821967,708903.225838,    0.000000,-135786.873654, 4050.316974,    0.000000,   41.008749,162014869.783120,    0.000000,    0.000000,    0.000000,    0.000000,    0.099855,   17.440433,   16.330518,   17.440433,1628994466315124.500000,-333085201073464.625000,-26539115147037.437500,-1758145269163317.000000,    0.000000,  100.000000,    0.021487,    0.602558,    0.621233,         nan,    0.529559,-9999.000000
1997-01-09 24:00:00,3874249165.224389,    0.000000,    0.000000,    0.000000,982967.582515,708903.225838,    0.000000,-130837.851044,    0.000000,    0.000000,   41.009648,162016398.241149,    0.000000,    0.000000,    0.000000,    0.000000,    0.099811,   17.403685,   16.217385,   17.403685,1554124446583512.250000,-320945248609762.812500,-24184110422542.941406,-1752101236691994.500000,    0.000000,  100.000000,    0.071753,    1.851186,    1.088881,         nan,    0.288175,-9999.000000
1997-01-10 24:00:00,3874448637.642312,    0.000000,    0.000000,    0.000000,984412.182814,708903.225839,    0.000000,-76722.941293,    0.000000,    0.000000,   41.010890,162018509.698829,    0.000000,    0.000000,    0.000000,    0.000000,    0.099760,   17.482695,   16.172881,   17.482695,1826696597435023.750000,-188201374992950.250000,-23901119782448.531250,-1735348364757399.250000,    0.000000,  100.000000,    0.078577,    2.017896,    1.136854,         nan,    0.285072,-9999.000000
1997-01-11 24:00:00,3874370587.125695,    0.000000,    0.000000,    0.000000,987523.144564,708903.225838,    0.000000,-359891.786780,    0.000000,    0.000000,   41.010404,162017683.517623,    0.000000,    0.000000,    0.000000,    0.000000,    0.099704,   17.364139,   16.141638,   17.364139,1830741380820591.000000,-882814552970195.250000,233800541615337.906250,-1451567023329640.000000,    0.000000,  100.000000,    0.023793,    0.661974,    0.651142,         nan,    0.283171,-9999.000000
