Site,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02
AberjonaRiver(Lower),807,2240,1970,947,944,603,923,943,892,965,918,,918,,1180,610,1030,1020,907,955,932,970,717,925,1180,1470,1070,1070,984,1040,1100,977,924,1080,749,1190,1340
UpperMysticLake,720.5,902,1050,1030,936,527.5,657,646,676,725,839,,1040,1220,1260,999,948,910,751,656,699.5,778,749,762,940,1250,1070,1070,942,854,884,856,902,851,902,975,1100
MysticRiver(Upper),757,1020,1140,1110,1020,624,690,717,716,756,871,968,965,,1300,989,1010,994,879,769,785,853,835,803,900,1240,1150,1100,1030,928,984,975,1110,939,949,1010,1570
