Site,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02
UpperMysticLake,10,10,20,10,10,551,20,285,31,52,10,31,10,31,36,31,20,10,10,63,10,98,1070,10,52,10,63,63,10,10,10,10,10,37,74.0,10.0
AberjonaRiver(Lower),109,216,192,798,160,1420,766,1835,389,282,441,,798,,121,794,301,580,187,206,158,97,1525,1020,213,249,92,8660,842,404,547,170,52,10,985,187,444.5
MysticRiver(Upper),20,31,10,10,52,146,21,160,20,52,109,31,74,,97,189,74,122,31,74,41,63,134,591,10,10,20,211,350,187,74,10,31,51,496,30.5,10.0
