Site,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02
AberjonaRiver(Lower),0.960,0.642,0.685,0.417,0.485,0.166,0.180,0.119,0.149,0.145,1.520,,0.432,,0.664,0.256,0.437,0.264,0.453,0.101,0.085,0.151,0.910,0.488,0.936,0.757,0.336,0.247,1.120,0.121,0.152,0.255,0.169,0.995,0.622,0.524,1.140
MysticRiver(Upper),0.401,0.503,0.508,0.276,0.098,0.102,0.073,0.033,0.009,0.044,0.230,0.381,0.377,,0.503,0.387,0.091,0.044,0.043,0.019,0.036,0.064,0.351,0.351,0.320,0.509,0.446,0.009,0.083,0.057,0.024,0.016,0.095,0.128,0.219,0.290,0.295
UpperMysticLake,0.529,0.789,0.586,0.384,0.184,0.077,0.000,0.006,0.008,0.016,0.025,,0.617,0.812,0.648,0.499,0.104,0.020,0.023,0.012,0.050,0.070,0.311,0.305,0.470,0.844,0.397,0.013,0.062,0.008,0.008,0.037,0.107,0.143,0.254,0.353,0.510
