Site,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02
UpperMysticLake,0.0409,0.0329,0.0280,0.0252,0.0186,0.0398,0.0427,0.0254,0.0256,0.0239,0.0260,,0.034,0.026,0.045,0.075,0.025,0.022,0.023,0.028,0.029,0.030,0.036,0.055, 0.0437,0.0343,0.0468,0.0269,0.0246,0.0190,0.0183,0.0184,0.0249,0.0281,0.0311,0.02022,0.02902
AberjonaRiver(Lower),0.0480,0.0719,0.0371,0.039,0.0442,0.0610,0.0567,0.0443,0.0470,0.0501,0.0339,,0.055,,0.046,0.062,0.055,0.055,0.061,0.053,0.055,0.518,0.056,0.065,0.0472,0.0391,0.0502,0.0691,0.0559,0.0484,0.0477,0.0403,0.0508,0.0397,0.0474,0.03455,0.06367
MysticRiver(Upper),0.0373,0.0362,0.0310,0.0315,0.0197,0.0330,0.0391,0.0278,0.0297,0.0303,0.0271,0.0364,0.036,,0.046,0.03,0.029,0.025,0.023,0.029,0.035,0.030,0.042,0.054,0.0432,0.0600,0.0451,0.0391,0.0306,0.0266,0.0232,0.0188,0.0266,0.0313,0.0328,0.02039,0.02770
