Site,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02
UpperMysticLake,5.0,5.0,5.0,5.0,5.0,3.9,10.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,36,8,4,5,4,4,5,5,5,5,5,5,8,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
AberjonaRiver(Lower),5.5,20.5,6.3,9.0,8.0,19.2,6.0,6.3,5.0,5.0,5.0,,9,,4,12,14,6,5,4,7,986,7,7,5.00,6.00,6.50,10.50,6.83,5.00,6.00,5.00,5.00,5.00,5.00,5.88,16.25
MysticRiver(Upper),5.0,5.0,5.0,8.0,5.0,4.4,6.3,5.0,5.0,5.0,5.0,13.3,5,,5,5,8,5,5,4,5,5,5,5,5,11.50,5,16.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.50
