Site,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02
AberjonaRiver(Lower),1.260,0.803,0.993,1.330,1.350,0.907,2.170,2.130,2.200,2.690,1.910,,0.698,,1.150,0.663,1.190,1.170,1.950,1.660,2.400,2.680,0.789,1.350,1.340,1.020,1.345,1.330,1.330,1.230,1.550,2.065,2.280,2.120,1.380,1.130,0.506
MysticRiver(Upper),0.837,0.887,0.944,1.110,1.080,0.375,0.310,0.489,0.354,0.272,0.342,0.495,0.720,,0.959,0.961,1.003,0.854,0.592,0.435,0.352,0.370,0.467,0.699,0.979,0.998,1.080,0.929,0.823,0.490,0.372,0.248,0.268,0.365,0.473,0.803,0.763
UpperMysticLake,0.883,0.956,0.958,1.220,1.170,0.740,0.189,0.631,0.587,0.646,0.790,,0.805,0.937,0.976,1.135,1.040,0.868,0.597,0.553,0.524,0.590,0.657,0.775,1.090,1.220,1.230,1.040,0.856,0.520,0.218,0.170,0.452,0.622,0.800,0.920,0.850
